id,name,phone,adhaar,vehicle,slot,event_type,event_time
2,Aditya Alat,8177882942,123,123,,entry,2025-02-17 15:02:35
2,Aditya Alat,8177882942,123,123,2,entry,2025-02-17 15:12:46
2,Aditya Alat,8177882942,123,123,2,entry,2025-02-17 15:12:58
4,himanshu,123,123,1234,2,entry,2025-02-17 15:13:44
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-17 15:30:26
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-17 15:31:25
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-17 15:45:15
6,Khushbu Pardhi,75074185296,2345678909876,MH55667,2,entry,2025-02-17 15:53:35
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-17 16:07:42
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 12:42:16
2,Aditya Alat,8177882942,123,123,2,entry,2025-02-18 12:44:10
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 12:50:01
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 12:52:03
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 12:52:13
2,Aditya Alat,8177882942,123,123,2,entry,2025-02-18 13:51:44
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 14:07:05
5,aaa,vvv,12345679012,2123213,2,entry,2025-02-18 14:07:07
1,aditya ,123,123,123,2,entry,2025-02-18 14:29:22
1,aditya ,123,123,123,2,exit,2025-02-18 14:29:33
1,aditya ,123,123,123,2,entry,2025-02-18 14:29:52
1,aditya ,123,123,123,2,exit,2025-02-18 14:29:57
2,Aditya Alat,8177882942,123,123,1,exit,2025-02-18 14:33:50
2,Aditya Alat,8177882942,123,123,2,entry,2025-02-18 14:33:56
2,Aditya Alat,8177882942,123,123,1,exit,2025-02-18 14:34:10
2,Aditya Alat,8177882942,123,123,1,entry,2025-02-18 14:35:29
2,Aditya Alat,8177882942,123,123,1,exit,2025-02-18 14:35:38
2,Aditya Alat,8177882942,123,123,3,entry,2025-02-18 14:35:49
2,Aditya Alat,8177882942,123,123,3,exit,2025-02-18 14:35:58
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 14:37:50
5,aaa,vvv,12345679012,2123213,1,entry,2025-02-18 14:37:58
5,aaa,vvv,12345679012,2123213,1,exit,2025-02-18 14:38:49
5,aaa,vvv,12345679012,2123213,3,entry,2025-02-18 14:46:47
5,aaa,vvv,12345679012,2123213,3,exit,2025-02-18 14:46:48
5,aaa,vvv,12345679012,2123213,3,entry,2025-02-18 14:46:48
5,aaa,vvv,12345679012,2123213,3,exit,2025-02-18 14:46:48
